id,family,description,uri_template,canonical_form,canonical_example,match_example,citation_type,is_canonical,is_neutral,jurisdiction,pattern
acd,ACD,Administrative Court Digest,,[dddd] ACD d+,[2022] ACD 123,[2022] ACD 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""acd"", ""description"": ""Administrative Court Digest"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""ACD""},{""LIKE_NUM"": true}]}"
aller,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 All ER 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""aller"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""All""},{""ORTH"": ""ER""},{""LIKE_NUM"": true}]}"
aller_a,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 All E.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""aller_a"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""All""},{""ORTH"": ""E.R.""},{""LIKE_NUM"": true}]}"
aller_b,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,(2022) 1 All E.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""aller_b"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""LIKE_NUM"": true}, {""ORTH"": ""All""},{""ORTH"": ""E.R.""},{""LIKE_NUM"": true}]}"
aller_c,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 ALL E.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""aller_c"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""ALL""},{""ORTH"": ""E.R.""},{""LIKE_NUM"": true}]}"
ukeat,EAT,United Kingdom Employment Appeal Tribunal,https://caselaw.nationalarchives.gov.uk/eat/year/d1,[dddd] EAT d+,[2022] EAT 123,[2022] EAT 123,NCitYearAbbrNum,TRUE,TRUE,UK,"{""id"": ""ukeat"", ""description"": ""United Kingdom Employment Appeal Tribunal"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EAT""} , {""LIKE_NUM"": true}]}"
ukeat_a,EAT,United Kingdom Employment Appeal Tribunal,https://caselaw.nationalarchives.gov.uk/eat/year/d1,[dddd] EAT d+,[2022] EAT 123,(2022) EAT 123,NCitYearAbbrNum,FALSE,TRUE,UK,"{""id"": ""ukeat_a"", ""description"": ""United Kingdom Employment Appeal Tribunal"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""ORTH"": ""EAT""} , {""LIKE_NUM"": true}]}"
ewca_civ,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA Civ 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewca_civ"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
ewca_civ_a,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA CIV 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_a"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""CIV""} , {""LIKE_NUM"": true}]}"
ewca_civ_b,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA civ 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_b"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""civ""} , {""LIKE_NUM"": true}]}"
ewca_civ_c,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] ewca civ 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_c"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""ewca""}, {""ORTH"": ""civ""} , {""LIKE_NUM"": true}]}"
ewca_civ_d,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022[ EWCA Civ 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_d"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""[""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
ewca_civ_e,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,]2022] EWCA Civ 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_e"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""]""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
ewca_civ_f,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,(2022) EWCA Civ 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_f"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
ewca_civ_g,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA Civ. 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_g"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""IS_PUNCT"":true}, {""LIKE_NUM"": true}]}"
ewca_civ_h,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA (Civ) 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_h"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""(""}, {""ORTH"": ""Civ""}, {""ORTH"": "")""},{""LIKE_NUM"": true}]}"
ewca_civ_i,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,(2022) EWCA CIV 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewca_civ_i"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""CIV""}, {""LIKE_NUM"": true}]}"
ewca_civ_j,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] [EWCA] Civ 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewca_civ_j"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""[""},  {""ORTH"": ""EWCA""}, {""ORTH"": ""]""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
ewca_civ_k,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] [EWCA Civ 123],NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewca_civ_k"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""[""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}, {""ORTH"": ""]""}]}"
ewca_crim,EWCA-Criminal,Court of Appeal (Criminal Division),https://caselaw.nationalarchives.gov.uk/ewca/crim/year/d1,[dddd] EWCA Crim d+,[2022] EWCA Crim 123,[2022] EWCA Crim 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewca_crim"", ""description"": ""Court of Appeal (Criminal Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Crim""} , {""LIKE_NUM"": true}]}"
ewcop,EWCOP,Court of Protection,https://caselaw.nationalarchives.gov.uk/ewcop/year/d1,[dddd] EWCOP d+,[2022] EWCOP 123,[2022] EWCOP 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewcop"", ""description"": ""Court of Protection"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCOP""} , {""LIKE_NUM"": true}]}"
ewcop_a,EWCOP,Court of Protection,https://caselaw.nationalarchives.gov.uk/ewcop/year/d1,[dddd] EWCOP d+,[2022] EWCOP 123,[2022] EWHC 123 (COP),NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewcop_a"", ""description"": ""Court of Protection"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""},{""LIKE_NUM"": true},{""ORTH"": ""(""},{""ORTH"": ""COP""},{""ORTH"": "")""}]}"
ewfc,EWFC,Family Court,https://caselaw.nationalarchives.gov.uk/ewfc/year/d1,[dddd] EWFC d+,[2022] EWFC 123,[2022] EWFC 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewfc"", ""description"": ""Family Court"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWFC""} , {""LIKE_NUM"": true}]}"
bcc,BCC,British Company Cases,,[dddd] BCC d+,[2022] BC 123,[2022] BCC 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""bcc"", ""description"": ""British Company Cases"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""BCC""},{""LIKE_NUM"": true}]}"
bcc_a,BCC,British Company Cases,,[dddd] BCC d+,[2022] BC 123,(2022) BCC 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""bcc_a"", ""description"": ""British Company Cases"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""},{""ORTH"": ""BCC""},{""LIKE_NUM"": true}]}"
bcc_b,BCC,British Company Cases,,[dddd] BCC d+,[2022] BC 123,[2022] B.C.C. 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""bcc_b"", ""description"": ""British Company Cases"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""B.C.C.""},{""LIKE_NUM"": true}]}"
bclc_multi,BCLC,Butterworth's Company Law Cases (Multi-Volume),,[dddd] d1 BCLC d2,[2022] 1 BCLC 123,[2022] 1 BCLC 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""bclc_multi"", ""description"": ""Butterworth's Company Law Cases"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""BCLC""},{""LIKE_NUM"": true}]}"
bclc_single,BCLC,Butterworth's Company Law Cases (Single-Volume),,[dddd] BCLC d2,[2022] BCLC 123,[2022] BCLC 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""bclc_single"", ""description"": ""Butterworth's Company Law Cases (Single-Volume)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""BCLC""},{""LIKE_NUM"": true}]}"
buslr,Bus LR,The Business Law Reports (ICLR),,[dddd] Bus LR d+,[2022] Bus LR 123,[2022] Bus LR 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""buslr"", ""description"": ""The Business Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Bus""},{""ORTH"": ""LR""},{""LIKE_NUM"": true}]}"
cmlr,CMLR,Common Market Law Reports,,[dddd] d1 CMLR d2,[2022] 1 CMLR 123,[2022] 1 CMLR 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""cmlr"", ""description"": ""Common Market Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""CMLR""},{""LIKE_NUM"": true}]}"
costslr,Costs LR,Costs Law Reports,,[dddd] Costs LR d+,[2022] Costs LR 123,[2022] Costs LR 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""costslr"", ""description"": ""Costs Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""Costs""},{""ORTH"": ""LR""},{""LIKE_NUM"": true}]}"
hrlr,HRLR,Human Rights Law Reports,,[dddd] HRLR d+,[2022] HRLR 123,[2022] HRLR 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""hrlr"", ""description"": ""Human Rights Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""HRLR""},{""LIKE_NUM"": true}]}"
crappr_volumnal_with_year,CR-APP-R,Criminal Appeal Reports (Volumnal Pre-1995),,(dddd) d1 Cr App R d2,(2022) 99 Cr App R 123,(2022) 99 Cr App R 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""crappr_volumnal_with_year"", ""description"": ""Criminal Appeal Reports (Volumnal Pre-1995)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""TEXT"": {""REGEX"": ""\\d+""}}, {""ORTH"": ""Cr""},{""ORTH"": ""App""}, {""ORTH"": ""R""}, {""LIKE_NUM"": true}]}"
crappr_volumnal_with_year_a,CR-APP-R,Criminal Appeal Reports (Volumnal Pre-1995),,(dddd) d1 Cr App R d2,(2022) 99 Cr App R 123,(1995) 99 Cr. App. R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""crappr_volumnal_with_year_a"", ""description"": ""Criminal Appeal Reports (Volumnal Pre-1995)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""TEXT"": {""REGEX"": ""\\d+""}}, {""ORTH"": ""Cr""},{""IS_PUNCT"": true},{""ORTH"": ""App""},{""IS_PUNCT"": true}, {""ORTH"": ""R.""}, {""LIKE_NUM"": true}]}"
crappr_annual,CR-APP-R,Criminal Appeal Reports (Annual Volumes Post-1995),,[dddd] d1 Cr App R d2,[2022] 1 Cr App R 123,[2022] 1 Cr App R 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""crappr_annual"", ""description"": ""Criminal Appeal Reports (Annual Volumes Post-1995)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true},{""ORTH"": ""Cr""},{""ORTH"": ""App""}, {""ORTH"": ""R""}, {""LIKE_NUM"": true}]}"
crappr_sentencing_annual,Cr App R (S),Criminal Appeal Reports (Sentencing) (Annual Volumes Post-1995),,[dddd] d1 Cr App R (S) d2,[2022] 1 Cr App R (S) 123,[2022] 1 Cr App R (S) 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""crappr_sentencing_annual"", ""description"": ""Criminal Appeal Reports (Sentencing) (Annual Volumes Post-1995)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true},{""ORTH"": ""Cr""},{""ORTH"": ""App""}, {""ORTH"": ""R""},{""ORTH"": ""(""},{""ORTH"": ""S""},{""ORTH"": "")""}, {""LIKE_NUM"": true}]}"
crappr_sentencing_volumnal_with_year,Cr App R (S),Criminal Appeal Reports (Sentencing) (Volumnal Pre-1995),,(dddd) d1 Cr App R (S) d2,(2022) 99 Cr App R (S) 123,(2022) 99 Cr App R (S) 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""crappr_sentencing_volumnal_with_year"", ""description"": ""Criminal Appeal Reports (Volumnal Pre-1995)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""TEXT"": {""REGEX"": ""\\d+""}}, {""ORTH"": ""Cr""},{""ORTH"": ""App""}, {""ORTH"": ""R""}, {""ORTH"": ""(""},{""ORTH"": ""S""},{""ORTH"": "")""},{""LIKE_NUM"": true}]}"
eglr,EGLR,Estates Gazette Law Reports,,[dddd] d1 EGLR d2,[2022] 1 EGLR 123,[2022] 1 EGLR 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""eglr"", ""description"": ""Estates Gazette Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""EGLR""},{""LIKE_NUM"": true}]}"
ehrr,EHRR,European Human Rights Reports,,(dddd) d1 EHRR d2,(2022) 74 EHRR 123,(2022) 74 EHRR 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""ehrr"", ""description"": ""European Human Rights Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""TEXT"": {""REGEX"": ""\\d+""}}, {""ORTH"": ""EHRR""}, {""LIKE_NUM"": true}]}"
